twitter_id,name,created_at,text
1338093323035291648,owhreoluwa,12/13/20,'RT @EduEle5: He even wore jersey of long term failure.'
1338093324826243074,lorcanoc,12/13/20,'RT @RobOHanrahan: 🇩🇪 “There is an urgent need to take action”  Germany increases #Covid19 restrictions  🫂 5 people from 2 households may me…'
1338093327376211969,sinach_z,12/13/20,"'RT @CTZebra: Audrey Ellis, 29yo Transplant RN, UC downtown Denver Hospital,   died of #covid19 cardiac damage 3/22. She loved life, Irish d…'"
1338093329691549702,AMiceMarina,12/13/20,"'RT @DrEricDing: ➡️ If a marathon-running 29-year old nurse can die of #COVID19, anybody can.   Please mask up, distance, ventilate the airb…'"
1338093331042234368,ellenfallows,12/13/20,"'RT @cpeedell: Sorry to come across as a Scrooge, but as an oncologist who is on a #COVID19 ward rota to help out our amazing acute medicine…'"
1338093331239190534,MooMutated,12/13/20,"'@MSNBC @NBCOUT HIV proteins used in Covid19 vaccines now shows up as false HIV positive.  Regardless, you now have… https://t.co/ayq50CdXG9'"
1338093335878258689,laurentalessio1,12/13/20,"'RT @robinmonotti: JAPAN'S COVID19 MORTALITY IS THE LOWEST IN THE WORLD, IT NEVER HAD A LOCKDOWN &amp; TRANSMISSION IS RAMPANT &gt;50%. THIS IS WHY:'"
1338093339560738816,Alvin23615482,12/13/20,"'RT @VOGDesignTeam: When you do the virus experiment, no matter what virus, you never only have one like - I write a book, I only have one b…'"
1338093341460869120,Voomi5,12/13/20,"'RT @DrTedros: Likewise, @BTS_twt Jimin, Namjoon, Jin, Yoongi, Hobi, Taehyung &amp; Jungkook and crew - please take care of yourselves &amp; stay sa…'"
1338093344170401794,CentristRn,12/13/20,"'RT @CentristRn: @critcare_airems @CNN @ErinBurnettCNN Hi,😱😢🔽 🚨❤PLEASE HELP IF YOU CAN! ❤🚨⏩DONATE/SHARE😢😷 🏥⏬⤵😷🚨COVID19 RN DENTURE..TYSM!!❤💕💓…'"
1338093345235742721,OneCreativeCat1,12/13/20,"'We are staying home this year. Our families too... It's going to be hard, but when we can meet again, we'll make th… https://t.co/HvZ4iNzd15'"
1338093345764233217,lumi_benj,12/13/20,'No wonder COYG guys'
