,twitter_id,name,created_at,text
0,1338093323035291648,owhreoluwa,12/13/20,rt  he even wore jersey of long term failure
1,1338093324826243074,lorcanoc,12/13/20,rt   there is an urgent need to take action  germany increases covid19 restrictions   5 people from 2 households may me
2,1338093327376211969,sinach_z,12/13/20,rt  audrey ellis 29yo transplant rn uc downtown denver hospital   died of covid19 cardiac damage 322 she loved life irish d
3,1338093329691549702,AMiceMarina,12/13/20,rt   if a marathonrunning 29year old nurse can die of covid19 anybody can   please mask up distance ventilate the airb
4,1338093331042234368,ellenfallows,12/13/20,rt  sorry to come across as a scrooge but as an oncologist who is on a covid19 ward rota to help out our amazing acute medicine
5,1338093331239190534,MooMutated,12/13/20,  hiv proteins used in covid19 vaccines now shows up as false hiv positive  regardless you now have 
6,1338093335878258689,laurentalessio1,12/13/20,rt  japans covid19 mortality is the lowest in the world it never had a lockdown amp transmission is rampant gt50 this is why
7,1338093339560738816,Alvin23615482,12/13/20,rt  when you do the virus experiment no matter what virus you never only have one like  i write a book i only have one b
8,1338093341460869120,Voomi5,12/13/20,rt  likewise twt jimin namjoon jin yoongi hobi taehyung amp jungkook and crew  please take care of yourselves amp stay sa
9,1338093344170401794,CentristRn,12/13/20,rt  airems   hi please help if you can donateshare covid19 rn denturetysm
10,1338093345235742721,OneCreativeCat1,12/13/20,we are staying home this year our families too its going to be hard but when we can meet again well make th 
11,1338093345764233217,lumi_benj,12/13/20,no wonder coyg guys
12,1338093349216133120,bigbadj0zzy,12/13/20,lone walk and nobody jumped him
13,1338093349220257793,Karin_Goodwin,12/13/20,rt  this chart shows the impact of covid19 in scotland across different clinical specialisms it shows thousands fewer operat
14,1338093348788162565,Jonathan_Conley,12/13/20,the lockdown wont end until we the people end it  the mask mandate will continue well after the vaccine is widel 
15,1338093353062313984,poodlelove55,12/13/20,rt  covid19 is so deadly you need a test to see if you have or had it 
16,1338093354396028932,armscontrol_rus,12/13/20,rt ru we missed smth wait f considering offers ia mil initiative frestraint mir over covid19 freeze major dril
17,1338093358577713152,bavaluefinder,12/13/20,rt shahid despite the challenges of covid19 the maldives is currently on track to reduce 14 of our emissions by 2030 recogn
18,1338093360431718402,Purrrrrrr,12/13/20,rt  time to stop the childhood stories like santa tooth fairy easter bunny if they are going to use them to get in your childs
19,1338093362025549825,WSWMUC,12/13/20, at least  its pretty covid19 safe 
20,1338093362453180417,kumaran__p,12/13/20, why didnt the british go the extra mile when it came to india pakistan seperation in 1947  could 
21,1338093366068842503,MoodyMaryfmmm,12/13/20,rt  sorry to come across as a scrooge but as an oncologist who is on a covid19 ward rota to help out our amazing acute medicine
